순서,전력,일시,습도(%),관측장소
1,170,2020-01-17 12:00,49,인천
2,133,2020-01-17 13:00,46,인천
3,139,2020-01-17 14:00,40,인천
4,141,2020-01-17 15:00,36,인천
5,140,2020-01-17 16:00,48,인천
6,141,2020-01-17 17:00,51,인천
7,142,2020-01-17 18:00,57,인천
8,141,2020-01-17 19:00,59,인천
9,136,2020-01-17 20:00,67,인천
10,123,2020-01-17 21:00,68,
11,144,2020-01-17 22:00,61,인천
12,128,2020-01-17 23:00,58,인천
13,93,2020-01-18 0:00,62,인천
14,150,2020-01-18 1:00,65,인천
15,118,2020-01-18 2:00,61,인천
16,118,2020-01-18 3:00,59,인천
17,117,2020-01-18 4:00,56,인천
18,118,2020-01-18 5:00,53,
19,114,2020-01-18 6:00,55,인천
20,116,2020-01-18 7:00,61,인천
21,115,2020-01-18 8:00,62,인천
22,115,2020-01-18 9:00,65,인천
23,108,2020-01-18 10:00,62,인천
24,108,2020-01-18 11:00,52,인천
25,105,2020-01-18 12:00,35,인천
26,110,2020-01-18 13:00,32,인천
27,110,2020-01-18 14:00,29,인천
28,109,2020-01-18 15:00,32,인천
29,110,2020-01-18 16:00,39,인천
30,119,2020-01-18 17:00,35,인천
31,118,2020-01-18 18:00,39,인천
32,121,2020-01-18 19:00,49,인천
33,,2020-01-18 20:00,62,인천
34,125,2020-01-18 21:00,65,인천
35,123,2020-01-18 22:00,65,인천
36,120,2020-01-18 23:00,67,인천
37,116,2020-01-19 0:00,65,인천
38,114,2020-01-19 1:00,70,인천
39,112,2020-01-19 2:00,67,인천
40,300,2020-01-19 3:00,64,
41,111,2020-01-19 4:00,66,인천
42,109,2020-01-19 5:00,70,인천
43,110,2020-01-19 6:00,71,인천
44,108,2020-01-19 7:00,72,인천
45,98,2020-01-19 8:00,72,인천
46,109,2020-01-19 9:00,81,인천
47,108,2020-01-19 10:00,78,인천
48,103,2020-01-19 11:00,62,인천
,106,2020-01-19 12:00,63,인천
50,109,2020-01-19 13:00,79,인천
51,108,2020-01-19 14:00,69,인천
52,108,2020-01-19 15:00,60,인천
53,111,2020-01-19 16:00,60,인천
54,116,2020-01-19 17:00,67,인천
55,116,2020-01-19 18:00,61,인천
56,99,2020-01-19 19:00,58,인천
57,117,2020-01-19 20:00,59,인천
58,115,2020-01-19 21:00,70,인천
59,119,2020-01-19 22:00,69,인천
60,115,2020-01-19 23:00,73,인천
61,115,2020-01-20 0:00,,인천
62,142,2020-01-20 0:00,69,인천
63,111,2020-01-20 2:00,58,인천
64,111,2020-01-20 3:00,59,
65,109,2020-01-20 4:00,60,인천
66,109,2020-01-20 5:00,59,인천
67,108,2020-01-20 6:00,64,인천
68,108,2020-01-20 7:00,65,인천
69,115,2020-01-20 8:00,76,인천
70,120,2020-01-20 9:00,70,인천
71,131,2020-01-20 10:00,57,인천
72,139,2020-01-20 11:00,43,인천
73,140,2020-01-20 12:00,35,인천
74,138,2020-01-20 13:00,39,인천
75,142.81,2020-01-20 14:00,48,인천
76,139.62,2020-01-20 15:00,66,인천
77,139.62,2020-01-20 16:00,38,인천
78,139.62,2020-01-20 17:00,52,인천
79,139.62,2020-01-20 18:00,57,인천
80,139.62,2020-01-20 19:00,58,인천
81,139.62,2020-01-20 20:00,46,인천
82,139.62,2020-01-20 21:00,46,인천
83,139.62,2020-01-20 22:00,45,인천
84,139.62,2020-01-20 23:00,45,인천
85,139.62,2020-01-21 0:00,51,인천
86,150,2020-01-21 1:00,51,인천
87,120,2020-01-21 2:00,56,인천
88,114,2020-01-21 3:00,56,인천
89,116,2020-01-21 4:00,52,인천
90,115,2020-01-21 5:00,53,인천
91,115,2020-01-21 6:00,53,인천
92,116,2020-01-21 7:00,54,인천
93,124,2020-01-21 8:00,58,인천
94,126,2020-01-21 9:00,50,인천
95,126,2020-01-21 10:00,42,인천
96,141,2020-01-21 11:00,35,인천
97,147,2020-01-21 12:00,35,인천
98,145,2020-01-21 13:00,41,인천
99,145,2020-01-21 14:00,39,인천
100,138,2020-01-21 15:00,39,인천
101,143,2020-01-21 16:00,39,인천
102,143,2020-01-21 17:00,42,인천
103,141,2020-01-21 18:00,57,인천
104,139,2020-01-21 19:00,56,인천
105,139,2020-01-21 20:00,59,인천
106,121,2020-01-21 21:00,57,인천
107,137,2020-01-21 22:00,58,인천
108,127,2020-01-21 23:00,55,인천
109,141.5,2020-01-22 0:00,52,인천
110,105.5,2020-01-22 1:00,54,인천
111,120,2020-01-22 2:00,51,인천
112,117,2020-01-22 3:00,57,인천
113,115,2020-01-22 4:00,54,인천
114,117,2020-01-22 5:00,57,인천
115,114,2020-01-22 6:00,56,인천
116,118,2020-01-22 7:00,48,인천
117,100,2020-01-22 8:00,48,인천
118,124,2020-01-22 9:00,58,인천
119,129,2020-01-22 10:00,52,인천
120,144,2020-01-22 11:00,38,인천
121,141,2020-01-22 12:00,30,인천
122,178,2020-01-22 13:00,32,인천
123,137,2020-01-22 14:00,30,인천
124,127,2020-01-22 15:00,31,인천
125,149,2020-01-22 16:00,43,인천
126,141,2020-01-22 17:00,55,인천
127,140,2020-01-22 18:00,65,인천
128,141,2020-01-22 19:00,71,인천
129,143,2020-01-22 20:00,71,인천
130,135,2020-01-22 21:00,64,인천
131,137,2020-01-22 22:00,55,인천
132,126,2020-01-22 23:00,67,인천
133,91,2020-01-23 0:00,66,인천
134,145,2020-01-23 1:00,66,인천
135,115,2020-01-23 2:00,51,인천
136,111,2020-01-23 3:00,53,인천
137,110,2020-01-23 4:00,60,인천
138,111,2020-01-23 5:00,62,인천
139,108,2020-01-23 6:00,65,인천
140,114,2020-01-23 7:00,67,인천
141,119,2020-01-23 8:00,67,인천
142,124,2020-01-23 9:00,67,인천
143,125,2020-01-23 10:00,57,인천
144,139,2020-01-23 11:00,54,인천
