순서,전력,일시,습도(%),중하층운량(10분위),운형(운형약어)
1,170,2020-01-17 12:00,49,0,Ci
2,133,2020-01-17 13:00,46,0,Ci
3,139,2020-01-17 14:00,40,0,Ci
4,141,2020-01-17 15:00,36,0,Ci
5,140,2020-01-17 16:00,48,0,Ci
6,141,2020-01-17 17:00,51,0,Ci
7,142,2020-01-17 18:00,57,0,Ci
8,141,2020-01-17 19:00,59,5,Cb
9,136,2020-01-17 20:00,67,0,Cb
10,123,2020-01-17 21:00,68,0,Ci
11,144,2020-01-17 22:00,61,4,Cb
12,128,2020-01-17 23:00,58,2,Cb
13,93,2020-01-18 0:00,101,0,Cb
14,150,2020-01-18 1:00,65,7,Cb
15,118,2020-01-18 2:00,61,3,Cb
16,118,2020-01-18 3:00,59,0,Ci
17,117,2020-01-18 4:00,56,0,Ci
18,118,,53,0,Ci
19,114,2020-01-18 6:00,55,0,Ci
20,116,2020-01-18 7:00,61,0,Cb
21,115,2020-01-18 8:00,62,0,Cb
22,115,2020-01-18 9:00,65,0,Cb
23,108,2020-01-18 10:00,62,0,Cb
24,108,2020-01-18 11:00,52,0,Cb
25,105,,35,0,Cb
26,110,2020-01-18 13:00,32,0,Cb
27,110,2020-01-18 14:00,29,0,Cb
28,109,2020-01-18 15:00,32,0,Cb
29,110,2020-01-18 16:00,39,0,Cb
30,119,2020-01-18 17:00,35,0,Cb
31,118,2020-01-18 18:00,39,0,Cb
32,121,2020-01-18 19:00,49,0,Cb
33,,2020-01-18 20:00,62,0,Cb
34,125,2020-01-18 21:00,65,0,Cb
35,123,2020-01-18 22:00,65,1,Cb
36,120,2020-01-18 23:00,67,5,Cb
37,116,2020-01-19 0:00,65,0,Cb
38,114,2020-01-19 1:00,70,6,Cb
39,112,2020-01-19 2:00,67,6,Cb
40,300,2020-01-19 3:00,64,3,Sc
41,111,2020-01-19 4:00,66,0,Ci
42,109,2020-01-19 5:00,70,0,Ci
43,110,2020-01-19 6:00,71,9,Sc
44,108,2020-01-19 7:00,72,9,Sc
45,98,2020-01-19 8:00,72,9,Sc
46,109,2020-01-19 9:00,101,6,Sc
47,108,2020-01-19 10:00,78,5,Sc
48,103,2020-01-19 11:00,62,5,Sc
49,106,2020-01-19 12:00,63,6,Sc
50,109,2020-01-19 13:00,79,8,Sc
51,108,,69,4,Sc
52,108,2020-01-19 15:00,60,1,Sc
53,111,2020-01-19 16:00,60,1,Sc
54,116,2020-01-19 17:00,67,2,Sc
55,116,2020-01-19 18:00,61,0,Cb
56,99,2020-01-19 19:00,58,0,Cb
57,117,2020-01-19 20:00,59,0,Cb
58,115,2020-01-19 21:00,70,0,Cb
59,119,2020-01-19 22:00,69,0,Cb
60,115,2020-01-19 23:00,73,0,Cb
61,115,2020-01-20 0:00,12,1,Cb
62,142,2020-01-20 0:00,69,0,Cb
63,111,2020-01-20 2:00,58,9,Cb
64,111,2020-01-20 3:00,59,9,Sc
65,109,2020-01-20 4:00,60,7,Sc
66,109,2020-01-20 5:00,59,9,Sc
67,108,2020-01-20 6:00,64,1,Sc
68,108,2020-01-20 7:00,65,0,Cb
69,115,2020-01-20 8:00,76,0,Cb
70,120,2020-01-20 9:00,70,0,Cb
71,131,2020-01-20 10:00,57,0,Cb
72,139,2020-01-20 11:00,43,0,Cb
73,140,2020-01-20 12:00,101,0,Cb
74,138,2020-01-20 13:00,39,0,Cb
75,142.81,2020-01-20 14:00,48,6,Sc
76,139.62,2020-01-20 15:00,66,4,Sc
77,139.62,,38,3,Sc
78,139.62,2020-01-20 17:00,52,0,Cb
79,139.62,2020-01-20 18:00,57,0,Cb
80,139.62,2020-01-20 19:00,58,0,Cb
81,139.62,2020-01-20 20:00,46,0,Cb
82,139.62,2020-01-20 21:00,46,0,Cb
83,139.62,2020-01-20 22:00,45,0,Cb
84,139.62,2020-01-20 23:00,45,0,Cb
85,139.62,2020-01-21 0:00,51,0,Cb
86,150,2020-01-21 1:00,51,0,Cb
87,120,2020-01-21 2:00,56,0,Cb
88,114,2020-01-21 3:00,56,0,Cb
89,116,2020-01-21 4:00,52,0,Cb
90,115,2020-01-21 5:00,53,0,Cb
91,115,2020-01-21 6:00,53,0,Cb
92,116,2020-01-21 7:00,54,0,Cb
93,124,2020-01-21 8:00,58,0,Cb
94,126,2020-01-21 9:00,50,0,Cb
95,126,2020-01-21 10:00,42,0,Ci
96,141,2020-01-21 11:00,35,0,Ci
97,147,2020-01-21 12:00,35,0,Ci
98,145,2020-01-21 13:00,41,0,Ci
99,145,2020-01-21 14:00,39,0,Ci
100,138,2020-01-21 15:00,101,0,Ci
101,143,2020-01-21 16:00,39,0,Ci
102,143,2020-01-21 17:00,42,0,Ci
103,141,2020-01-21 18:00,57,0,Ci
104,139,2020-01-21 19:00,56,6,Cb
105,139,,59,8,Cb
106,121,2020-01-21 21:00,57,0,Ci
107,137,2020-01-21 22:00,58,7,Cb
108,127,2020-01-21 23:00,55,8,Cb
109,141.5,2020-01-22 0:00,52,9,As
110,105.5,2020-01-22 1:00,54,10,Cb
111,120,2020-01-22 2:00,51,10,Cb
112,117,2020-01-22 3:00,57,10,As
113,115,2020-01-22 4:00,54,10,As
114,117,2020-01-22 5:00,57,10,As
115,114,2020-01-22 6:00,56,10,As
116,118,2020-01-22 7:00,48,10,As
117,100,2020-01-22 8:00,48,10,As
118,124,2020-01-22 9:00,58,10,As
119,129,2020-01-22 10:00,52,4,Sc
120,144,2020-01-22 11:00,38,6,Sc
121,141,2020-01-22 12:00,30,5,Sc
122,178,2020-01-22 13:00,32,2,Sc
123,137,2020-01-22 14:00,30,0,Ci
124,127,2020-01-22 15:00,31,0,Ci
125,149,2020-01-22 16:00,43,0,Ci
126,141,,55,0,Ci
127,140,2020-01-22 18:00,65,0,Ci
128,141,2020-01-22 19:00,71,1,Cb
129,143,2020-01-22 20:00,71,8,Cb
130,135,2020-01-22 21:00,64,0,Ci
131,137,2020-01-22 22:00,55,9,Cb
132,126,2020-01-22 23:00,67,0,Cb
133,91,2020-01-23 0:00,66,3,Me
134,145,2020-01-23 1:00,66,9,Cb
135,115,2020-01-23 2:00,51,9,Cb
136,111,2020-01-23 3:00,53,0,Ci
137,110,2020-01-23 4:00,60,5,Me
138,111,2020-01-23 5:00,62,0,Ci
139,108,2020-01-23 6:00,65,0,Ci
140,114,2020-01-23 7:00,67,0,Cb
141,119,2020-01-23 8:00,67,0,Ci
142,124,2020-01-23 9:00,67,0,Ci
143,125,2020-01-23 10:00,57,0,Cb
144,139,2020-01-23 11:00,54,0,Cb
145,136,2020-01-23 12:00,51,0,Cb
146,142,2020-01-23 13:00,46,0,Ci
147,141,2020-01-23 14:00,42,0,Cb
148,143,2020-01-23 15:00,101,0,Ci
149,143,2020-01-23 16:00,52,0,Ci
150,146,,58,0,Ci
151,133,2020-01-23 18:00,60,0,Ci
152,134,2020-01-23 19:00,67,0,Cb
153,129,2020-01-23 20:00,68,0,Cb
154,121,2020-01-23 21:00,70,0,Ci
155,125,2020-01-23 22:00,73,0,Cb
156,117,2020-01-23 23:00,,0,Cb
157,115,2020-01-24 0:00,76,0,Ci
158,113,2020-01-24 1:00,77,0,Cb
159,112,2020-01-24 2:00,78,0,Cb
160,108,2020-01-24 3:00,81,0,Ci
161,111,2020-01-24 4:00,80,,Cb
162,,2020-01-24 5:00,80,0,Cb
163,108,2020-01-24 6:00,75,0,Cb
164,111,2020-01-24 7:00,78,0,Cb
165,110,2020-01-24 8:00,81,0,Cb
166,111,2020-01-24 9:00,79,0,Cb
167,99,2020-01-24 10:00,72,0,Ci
168,105,2020-01-24 11:00,66,0,Ci
,100,2020-01-24 12:00,63,0,Ci
170,106,2020-01-24 13:00,59,0,Ci
171,106,2020-01-24 14:00,56,0,Ci
172,105,2020-01-24 15:00,58,0,Ci
173,112,2020-01-24 16:00,52,0,Ci
174,112,,54,0,Ci
175,129,2020-01-24 18:00,55,0,Ci
176,121.5,2020-01-24 19:00,55,8,Cb
177,110.5,2020-01-24 20:00,55,8,Cb
178,96,2020-01-24 21:00,53,0,Ci
179,118,2020-01-24 22:00,54,9,Cb
180,119,2020-01-24 23:00,101,0,Cb
181,114,2020-01-25 0:00,59,0,Ci
182,111,2020-01-25 1:00,62,0,Cb
183,130,2020-01-25 2:00,63,0,Cb
184,104,2020-01-25 3:00,64,0,Ci
185,105,2020-01-25 4:00,64,0,Ci
186,103,2020-01-25 5:00,65,6,Sc
187,105,2020-01-25 6:00,66,9,Sc
188,103,2020-01-25 7:00,66,9,Sc
189,103,2020-01-25 8:00,67,9,Sc
190,104,2020-01-25 9:00,67,1,Sc
191,106,2020-01-25 10:00,63,0,Ci
192,98,2020-01-25 11:00,58,0,Ci
193,98,2020-01-25 12:00,62,0,Ci
194,103,2020-01-25 13:00,61,0,Ci
195,92,2020-01-25 14:00,58,0,Cs
196,112,2020-01-25 15:00,59,0,Cs
197,109,2020-01-25 16:00,64,0,Cs
198,111,2020-01-25 17:00,67,0,Cs
199,110,2020-01-25 18:00,69,0,Ci
200,112,2020-01-25 19:00,76,0,Cb
201,109,2020-01-25 20:00,83,0,Cb
202,109,2020-01-25 21:00,83,0,Ci
203,106,2020-01-25 22:00,72,0,Cb
204,109,2020-01-25 23:00,64,0,Cb
205,78,2020-01-26 0:00,65,0,Ci
206,129,2020-01-26 1:00,64,0,Cb
207,105,2020-01-26 2:00,101,0,Cb
208,111,2020-01-26 3:00,66,0,Ci
209,109,2020-01-26 4:00,66,0,Ci
210,108,2020-01-26 5:00,66,0,Ci
211,110,2020-01-26 6:00,70,0,Ci
212,109,2020-01-26 7:00,71,0,Ci
213,108,2020-01-26 8:00,74,0,Ci
214,111,2020-01-26 9:00,75,0,Ci
215,109,2020-01-26 10:00,68,0,Ci
216,102,2020-01-26 11:00,63,0,Ci
217,102,2020-01-26 12:00,53,0,Ci
218,100,2020-01-26 13:00,47,0,Ci
219,106,,44,0,Ci
220,106,2020-01-26 15:00,36,0,Ci
221,109,2020-01-26 16:00,34,0,Ci
222,116,2020-01-26 17:00,101,0,Ci
223,121,2020-01-26 18:00,43,0,Ci
224,123,2020-01-26 19:00,44,8,Cb
225,119,2020-01-26 20:00,45,4,Cb
226,120,2020-01-26 21:00,47,0,Ci
227,,2020-01-26 22:00,50,9,Cb
228,107,2020-01-26 23:00,52,9,Cb
229,131,2020-01-27 0:00,52,0,Ci
230,98,2020-01-27 1:00,52,10,Cb
231,113,2020-01-27 2:00,51,10,Cb
232,109,2020-01-27 3:00,49,0,Ci
233,110,2020-01-27 4:00,49,0,Ci
,110,2020-01-27 5:00,50,,Ci
235,111,2020-01-27 6:00,50,0,Ci
236,108,2020-01-27 7:00,49,0,Ci
237,112,2020-01-27 8:00,47,9,Me
238,111,2020-01-27 9:00,48,9,Me
239,96,2020-01-27 10:00,49,9,Me
240,113,2020-01-27 11:00,46,9,Me
241,114,2020-01-27 12:00,42,9,Me
242,116,2020-01-27 13:00,41,4,Sc
243,121,2020-01-27 14:00,43,6,Sc
244,154,2020-01-27 15:00,39,7,Sc
245,124,2020-01-27 16:00,40,4,Sc
246,123,2020-01-27 17:00,101,5,Sc
247,124,2020-01-27 18:00,59,7,Sc
248,128,2020-01-27 19:00,60,8,Sc
249,130,2020-01-27 20:00,77,8,St
