자전거번호,대여일시,대여소번호,대여소명,대여거치대,반납일시,반납대여소번호,반납대여소명,반납거치대,이용시간,이용거리,나이
SPB-23220,2020-12-05 8:48,646,장한평역 1번출구 (국민은행앞),3,2020-12-05 9:01,3,중랑센터,7,12,1100,50
SPB-16216,2020-12-08 8:38,646,장한평역 1번출구 (국민은행앞),2,2020-12-08 8:56,3,중랑센터,2,7,1420,50
SPB-16212,2020-12-08 8:38,646,장한평역 1번출구 (국민은행앞),1,2020-12-08 8:56,3,중랑센터,2,7,1420,50
SPB-21097,2020-12-08 8:46,646,장한평역 1번출구 (국민은행앞),1,2020-12-08 8:57,3,중랑센터,7,10,,32
SPB-22292,2020-12-09 8:34,646,장한평역 1번출구 (국민은행앞),1,2020-12-09 8:45,3,중랑센터,,10,1380,21
SPB-07935,2020-12-09 12:29,512,뚝섬역 1번 출구 옆,11,2020-12-09 12:39,3,중랑센터,7,10,1650,120
SPB-18401,2020-12-10 8:52,646,장한평역 1번출구 (국민은행앞),1,2020-12-10 9:09,3,중랑센터,7,11,1350,30
SPB-18350,2020-12-10 8:35,646,장한평역 1번출구 (국민은행앞),1,2020-12-10 9:10,3,중랑센터,2,9,1390,26
SPB-11557,2020-12-12 14:52,3,중랑센터,7,2020-12-12 15:40,3,중랑센터,7,47,0,29
SPB-20220,2020-12-15 8:35,646,장한평역 1번출구 (국민은행앞),2,2020-12-15 8:42,3,중랑센터,2,6,1160,53
SPB-20102,2020-12-15 9:45,646,장한평역 1번출구 (국민은행앞),8,2020-12-15 10:17,3,중랑센터,7,30,1060,54
SPB-10000,2020-12-16 8:35,646,장한평역 1번출구 (국민은행앞),8,2020-12-16 8:44,3,중랑센터,2,8,1300,30
SPB-20145,2020-12-17 8:30,646,장한평역 1번출구 (국민은행앞),9,2020-12-17 8:38,3,중랑센터,2,,1060,30
SPB-19057,2020-12-17 8:55,646,장한평역 1번출구 (국민은행앞),4,2020-12-17 9:08,3,중랑센터,7,11,,57
SPB-19645,2020-12-18 9:44,646,장한평역 1번출구 (국민은행앞),,2020-12-18 10:01,3,중랑센터,7,16,1140,59
SPB-21851,2020-12-18 9:33,646,장한평역 1번출구 (국민은행앞),10,2020-12-18 10:02,3,중랑센터,2,28,1220,51
SPB-13973,2020-12-19 8:42,646,장한평역 1번출구 (국민은행앞),1,2020-12-19 8:50,3,중랑센터,2,6,1370,32
